Issue Type,Key,Epic,Summary,Phase,Story Points,Depends On,Labels,Description
Epic,E1,,Каталог и просмотр профиля,MVP,,,catalog;read,"Публичный read-каталог и страница профиля участника"
Story,US-1.1,E1,Просмотр сегментированного каталога,MVP,5,,catalog,"Как покупатель, я хочу фильтровать каталог по роли/тиру/фактору, чтобы быстро находить надёжных контрагентов"
Task,T-1.1.1,E1,API GET /participants с фильтрами и курсором,MVP,3,,backend;api,"Реализовать фильтры role/tier/factor/verified_legal/q + cursor pagination"
Task,T-1.1.2,E1,UI каталога с сегментами и dominant factor,MVP,3,T-1.1.1,frontend,"Сетка карточек, бейдж тира, доминирующий фактор, пустое состояние"
Task,T-1.1.3,E1,Индексы и trgm-поиск,MVP,2,,db,"Индексы каталога, gin_trgm для поиска"
Story,US-1.2,E1,Страница профиля участника,MVP,5,US-1.1,catalog,"Как покупатель, я хочу видеть факторы и флаги участника, чтобы оценить доверие"
Task,T-1.2.1,E1,API GET /participants/{id} и /history,MVP,3,,backend;api,"Профиль + история по algo_version"
Task,T-1.2.2,E1,UI профиля (факторы/вклад/флаги),MVP,3,T-1.2.1,frontend,"Анатомия профиля, состояния empty/loading/error"
Epic,E2,,Score и доминирующий фактор,MVP,,,scoring,"Ядро расчёта Trust Score и его отображение"
Story,US-2.1,E2,Расчёт и показ Score с доминирующим фактором,MVP,8,,scoring,"Как покупатель, я хочу видеть Score с пояснением доминанты, чтобы понимать силу участника"
Task,T-2.1.1,E2,Fi-нормализации 9 факторов,MVP,8,,scoring,"Реализовать абсолютные полосы по Wave 1"
Task,T-2.1.2,E2,Матрица весов 22x9 по algo_version,MVP,3,,scoring,"role_factor_weights + инвариант ΣW=1"
Task,T-2.1.3,E2,Dᵢ decay-классы и Pₛ,MVP,5,T-2.1.1,scoring,"4 класса decay, Pₛ=1-∏(1-pk) с потолками"
Task,T-2.1.4,E2,Доминирующий фактор и balanced/no-TS,MVP,3,T-2.1.1,scoring,"Логика вклада, balanced, null для no-TS"
Task,T-2.1.5,E2,Golden-датасеты и регрессия,MVP,3,T-2.1.3,qa,"Эталонные входы→Score для CI"
Epic,E3,,Бейдж и публичное API,MVP,,,badge;api,"Встраиваемый подписанный бейдж и read API"
Story,US-3.1,E3,Серверный подписанный SVG-бейдж,MVP,5,US-2.1,badge,"Как вендор, я хочу встроить бейдж, чтобы показать доверие на своём сайте"
Task,T-3.1.1,E3,Badge endpoint + рендер SVG/PNG,MVP,3,,backend,"Серверный рендер, theme light/dark"
Task,T-3.1.2,E3,Подпись через KMS/HSM + кэш/ETag,MVP,3,T-3.1.1,backend;security,"Подпись эндпоинта, TTL, anti-tamper"
Story,US-3.2,E3,Public read API,MVP,3,US-1.1,api,"Как интегратор, я хочу читать данные без аутентификации"
Task,T-3.2.1,E3,Rate-limit + conventions + ошибки,MVP,3,,backend;api,"429/Retry-After, единый формат ошибок"
Epic,E4,,Онбординг и идентичность,MVP,,,identity,"Claim-profile, KYB/KYC, PoP"
Story,US-4.1,E4,Claim-profile и KYB,MVP,5,,identity,"Как участник, я хочу заявить профиль и пройти KYB"
