role_code,display_name,domain,jurisdiction,status,verified_legal,kyb_level,trust_ceiling,tests_count,updated_days_ago,dominant_factor,is_balanced,score,tier,contact_website,contact_email,contact_telegram,factor_QEF,factor_PCF,factor_SCIF,factor_TRF,factor_FRF,factor_CCF,factor_CVF,factor_CVF_B,factor_RF,provisional_reason,_source_url,_data_completeness,_confidence,_notes
FILL_FINISH,Vetter Pharma-Fertigung GmbH & Co. KG,vetter-pharma.com,DE,ACTIVE,true,L3,100,12,30,,,,,https://www.vetter-pharma.com,info@vetter-pharma.com,,92,90,82,90,82,88,,78,90,,https://www.vetter-pharma.com/en/services/aseptic-filling/,88,high,ЮЛ: Vetter Pharma-Fertigung GmbH & Co. KG; Eywiesenstr. 5; 88212 Ravensburg DE. Handelsregister Ulm — верификация номера требуется. Частная семейная компания (осн. ~1950); >7 700 сотр. Fill-finish: стерильные виалы; шприцы; картриджи; Vetter Lyo-Ject двухкамерный шприц (лиофилизат+разбавитель). Lyo-специализация: жидкие и лиофилизованные препараты >25 лет. FDA-одобрено с 1988 (Ravensburg); 1998 (Langenargen); 2008 (Ravensburg South). Также: Rankweil AT (AGES-одобрено 2021); клиническая площадка Des Plaines IL USA. GMP-регуляторика: EMA; FDA; PMDA JP; PEI DE; RP Tübingen. GMP Annex 1 compliant. CDMO Leadership Awards 2024: ALL 6 категорий. Новая площадка в Saarlouis DE: строительство (EU state aid €47M; декабрь 2025). CVF_B=78: публичные отзывы по множественным клиентам фарм-индустрии; статус в US CFDI. QEF=92: FDA 1988+; EMA+; PMDA; документированная история инспекций без критических замечаний.
FILL_FINISH,Corden Pharma GmbH,cordenpharma.com,DE,ACTIVE,true,L3,100,10,7,,,,,https://cordenpharma.com/what-you-need/drug-products/sterile-dosage-forms-aseptic-fill-and-finish/,,,88,86,80,85,78,88,62,72,90,,https://cordenpharma.com/how-we-deliver/facilities-network/,85,high,ЮЛ (DE entity): Corden Pharma GmbH; Otto-Hahn-Str. 1; 68723 Plankstadt DE. VAT ID: DE271759255. Handelsregister Mannheim HRB 709385. Группа HQ: Corden Pharma International Switzerland LLC; Aeschenvorstadt 71; 4051 Basel CH. FILL_FINISH площадка: Caponago IT (итальянская дочерняя сущность — наименование на AIFA/EudraGMDP требует верификации). GMP-регуляторика Caponago: FDA; EMA (AIFA); ANVISA; TGA; EU GMP Annex 1. Ноль warning letters и GMP non-compliance с 2009. Специализация: пептиды; олигонуклеотиды; mAb; LNP — жидкие и лиофилизованные виалы + PFS + картриджи. Мощность: >200 млн ед./год (коммерческая); 1–50 L (клиническая) и 10–100 L (коммерческая) партии. Новые isolator filling lines (2 шт.; целевые 2027): Syntegon PFS + VarioSys Bausch+Strübel. CVF_B=72: публичное партнёрство с Viking Therapeutics (двойной GLP-1/GIP пептид API + parenteral fill + OSD; пресс-релиз подтверждён). QEF=88: пептид-специфические fill-finish сервисы + lyo для пептидов — один из сильнейших EU CDMO для этого класса молекул.
FILL_FINISH,Siegfried Holding AG,siegfried.ch,CH,ACTIVE,true,L3,100,15,30,,,,,https://www.siegfried.ch/offering/drug-products/,,,88,85,80,88,82,86,,75,88,,https://www.siegfried.ch/offering/drug-products/,82,high,ЮЛ (HQ): Siegfried Holding AG; Untere Brühlstrasse 4; 4800 Zofingen CH. SIX Swiss Exchange: SFZN. Основана 1873. FILL_FINISH площадка EU: Siegfried Hameln DE (Hameln; Нижняя Саксония). Sterile fill-finish + lyo: COVID-19 вакцины фасовались в Hameln (Pfizer-BioNTech; заявлено в публичных источниках). Также: Siegfried Irvine CA USA (aseptic fill; виалы; PFS; шприцы; emulsions). Drug Products сеть: Hameln DE (biologics fill-finish + lyo); Malta (OSD); Barberà del Vallès ES (HPAPI OSD); El Masnou ES (офтальмологика стерильная). GMP-регуляторика: FDA; EMA; Swissmedic; AEMPS; German PEI; MHRA; PMDA; WHO; ANVISA; MFDS; ANSM; ISO 13485; ISO 14001; Russia Roszdravnadzor. 13 производственных площадок на 3 континентах; ~3 100 сотр. (оценка). CVF_B=75: COVID-19 вакцины (публичные СМИ); клинические партии biologics (публично заявлено). QEF=88: полный набор международных GMP-лицензий; долгая история инспекций. SCIF=80 — площадка Hameln для biologics; lot traceability при API от внешнего производителя.
FILL_FINISH,Recipharm AB,recipharm.com,SE,ACTIVE,true,L3,100,10,14,,,,,https://www.recipharm.com/drug-product/dosage-forms/sterile-fill-finish,,,85,83,78,82,80,82,60,65,82,,https://www.recipharm.com/drug-product/dosage-forms/sterile-fill-finish/sterile-lyophilisation-services,80,high,ЮЛ: Recipharm AB; Lagervägen 7; 136 21 Haninge; Швеция. Шведский регистр компаний (Bolagsverket) — рег.№ 556717-8060 (требует верификации). Ранее: Nasdaq Stockholm RECI B; взята частной EQT AB в 2021. >5 000 сотр. FILL_FINISH площадки EU: Wasserburg DE — новая модульная стерильная линия GMP VarioSys (Grade A isolator; viалы+PFS; 500–50 000 ед/партию; operational февраль 2025); Kaysersberg FR — стерильная; Cuxhaven DE (ReciBioPharm biologics). Lyo-мощность: публично задокументировано (лиофилизация Arcturus ARCT-154 mRNA для Phase III). Также площадки: Франция; Германия; Португалия; Израиль; Индия; США. CVF_B=65: публично объявленный tech transfer с Arcturus Therapeutics (лиофилизация mRNA ARCT-154 Phase III). CVF=60: публичные упоминания клиентов в отраслевых СМИ. QEF=85: EU GMP; FDA; множественные международные регуляторные одобрения. FRF=80: EU-охват; гибкость масштабирования; клиника и коммерция.
FILL_FINISH,Lonza Ltd,lonza.com,CH,ACTIVE,true,L3,100,20,60,,,,,https://www.lonza.com/about-us/our-locations/visp-switzerland,,,92,88,85,95,85,90,,85,92,,https://www.lonza.com/news/2025-10-08-14-00,88,high,ЮЛ: Lonza Ltd; Münchensteinerstrasse 38; 4002 Basel CH. CHE-UID: CHE-103.481.937. SIX Swiss Exchange: LONN. Основана 1897; >30 000 сотр. FILL_FINISH площадки CH: Visp CH — cGMP liquid + lyophilized vial isolator line; Ibex Biopark; operational апрель 2023; GMP licensed; EU GMP Annex 1 compliant. Stein CH — новая aseptic drug product filling line; Swissmedic GMP license октябрь 2025; containment ADC + biologics. CHF ~500 млн инвестиций в Stein (коммерческая площадка). Также: Basel CH (Drug Product Services); Oss NL (ADC). GMP-регуляторика: Swissmedic (Visp + Stein); FDA; EMA; множественные. TRF=95: один из крупнейших CDMO мира; 125+ лет; ведущая позиция. CVF_B=85: публичные партнёрства — Vertex Therapeutics (CRISPR/Casgevy); Genentech site acquisition; пептиды в Visp описаны как одна из ключевых модальностей. QEF=92: dual Swissmedic GMP (Visp + Stein); FDA; EMA; GMP Annex 1. SCIF=85: Ibex Biopark — DS-to-DP на одной площадке; прямая lot traceability.
FILL_FINISH,Adragos Pharma GmbH,adragos-pharma.com,DE,ACTIVE,true,L2,88,8,60,,,,,https://adragos-pharma.com/sterile-injectable-cdmo-fill-finish-europe/,,,82,80,78,72,78,80,58,,85,,https://adragos-pharma.com/jura-switzerland/,78,high,ЮЛ: Adragos Pharma GmbH; Мюнхен DE; Handelsregister München — номер требует верификации (confidence medium для KYB). FILL_FINISH площадки EU: (1) Jura CH (Courroux; бывш. Baccinex; приобретено ноябрь 2024): EU-GMP + FDA + Swissmedic; жидкие и лиофилизованные стерильные виалы; ~200 клинических партий/год; 5 коммерческих запусков; без минимального размера партии для лиофилизации; до 74 400 виал/партию. (2) Maisons-Alfort FR: EU-GMP; 12 международных регуляторных органов; biologics fill-finish. (3) Livron FR: EU-GMP + ANSM + ANSES + KFDA; ампулы; мощность >160 млн ампул (новая линия ноябрь 2024). Также: Kawagoe JP (упаковка). CVF=58: публичная информация о клиентах без конкретных имён. QEF=82: EMA + FDA + Swissmedic (Jura); 12 органов (Maisons-Alfort); GMP Annex 1. FRF=78: клиническая гибкость без min batch; 3 EU стерильных площадки. kyb_level=L2 (не L3): Handelsregister München не верифицирован публично при написании; требует проверки для повышения до L3.
FILL_FINISH,Recipharm Cramlington Ltd,recipharm.com,GB,ACTIVE,true,L2,88,5,60,,,,,https://www.recipharm.com/our-sites/cramlington-uk,,,80,78,72,75,75,78,,,78,,https://www.recipharm.com/our-sites/cramlington-uk,62,medium,UK площадка группы Recipharm. Cramlington; Northumberland; England (бывш. Aesica Pharmaceuticals; поглощена Recipharm). MHRA-licensed GMP sterile manufacturing. Sterile fill-finish capability задокументирована. Lyo на данной площадке — требует верификации через MHRA/EudraGMDP. kyb_level=L2: юрлицо Recipharm Cramlington Ltd (Companies House UK) — номер требует верификации. Data completeness снижена: площадка-специфические данные по fill-finish и lyo не верифицированы публично с достаточной точностью. _confidence=medium. Рекомендация: запросить EudraGMDP certificate для Cramlington site или MHRA inspection record.
FILL_FINISH,Catalent Germany Eberbach GmbH,catalent.com,DE,ACTIVE,true,L3,100,10,30,,,,,https://www.catalent.com/catalent-locations/eberbach-germany/,,,86,84,78,85,80,84,,68,78,,https://www.catalent.com/catalent-locations/eberbach-germany/,75,medium,ЮЛ: Catalent Germany Eberbach GmbH; Eberbach; Baden-Württemberg DE. Handelsregister Mannheim — номер требует верификации. Материнская компания: Catalent Inc. (NYSE: CTLT; приобретена Novo Holdings 2024 за ~$16.5 млрд). FILL_FINISH площадка: Eberbach DE — sterile liquid fill-finish; lyophilization capabilities. EU GMP; FDA; APMDA. Примечание: Catalent Inc. в 2024 продала 3 fill-finish сайта Novo Nordisk за $11 млрд (для GLP-1 производства) — предположительно US сайты; Eberbach DE статус в Catalent CDMO сети требует подтверждения после транзакции. CVF_B=68 снижен: корпоративная реорганизация 2024 влияет на долгосрочную предсказуемость CDMO-сервисов. RF=78 снижен: риск изменений в CDMO-доступности в связи с приобретением Novo Holdings. _confidence=medium: пост-acquisition статус Eberbach как независимого CDMO-сайта требует верификации в 2025–2026.
FILL_FINISH,Famar Group SA,famar.com,FR,ACTIVE,true,L2,88,5,30,,,,,https://www.famar.com,,,78,75,70,72,72,75,,,75,,https://www.pharmacompass.com/pharma-services/api-manufacturing-services/siegfried-ag,60,medium,ЮЛ: Famar Group SA; Франция (HQ — конкретный адрес и SIREN требуют верификации). Famar приобрела стерильную площадку MiP Pharma Germany в Homburg; Саар DE — специализированная площадка для aseptic и lyophilized fill-and-finish операций (источник: PharmaCOMPASS CDMO Tracker H2 2024). Площадка Homburg DE: sterile fill-finish + lyo для парентеральных препаратов. EU GMP (ANSM для FR; BfArM/PEI для DE) предположительно активны; верификация через EudraGMDP обязательна. kyb_level=L2: юрлицо Famar Group задокументировано публично; конкретный номер Handelsregister/SIREN требует верификации. _confidence=medium: данные по Homburg DE площадке основаны на публичном отраслевом треккере; прямое подтверждение на сайте Famar и EudraGMDP обязательно до публикации как FILL_FINISH-оракула. QEF=78 оценён консервативно из-за ограниченной публичной документации.
FILL_FINISH,PCI Pharma Services (UK) Ltd,pciservices.com,GB,PROVISIONAL,false,L1,75,3,90,,,,,https://www.pciservices.com,,,68,65,60,70,68,65,,,65,UK торговое наименование PCI Pharma Services Ltd — регистрационный номер Companies House не верифицирован в данном исследовании. Sterile fill-finish + лиофилизация на UK сайтах (Holmes Chapel; Cheshire; Millmount IE) требует верификации через MHRA Establishment License и EudraGMDP.,https://www.pciservices.com/services/clinical-supply-services/sterile-fill-finish/,50,low,PCI Pharma Services — US-HQ CDMO (Philadelphia PA) с UK-операциями. UK сайт: Holmes Chapel; Cheshire (клинические материалы; MHRA licensed). Millmount Healthcare (Enniscorthy; Ирландия IE) — приобретён PCI; стерильное fill-finish для clinical trials. Lyo-возможности на UK/IE сайтах — публично упоминается; конкретные данные ограничены. status=PROVISIONAL: UK юрлицо PCI Pharma Services Ltd (Companies House) не верифицировано при написании. QEF=68 консервативно. _confidence=low: ограниченная UK-специфическая публичная документация по fill-finish + lyo мощностям. Рекомендация: верификация через Companies House UK + MHRA + EudraGMDP до повышения KYB уровня.
