role_code,display_name,domain,jurisdiction,status,verified_legal,kyb_level,trust_ceiling,tests_count,updated_days_ago,dominant_factor,is_balanced,score,tier,contact_website,contact_email,contact_telegram,factor_QEF,factor_PCF,factor_SCIF,factor_TRF,factor_FRF,factor_CCF,factor_CVF,factor_CVF_B,factor_RF,provisional_reason,_source_url,_data_completeness,_confidence,_notes
MANUFACTURER,Bachem Holding AG,bachem.com,CH,ACTIVE,true,L3,100,45,1,QEF,false,91.8,Platinum,https://www.bachem.com,,,95,90,88,92,95,92,,,90,,https://www.bachem.com/quality-and-regulatory/,92,high,Публичная компания (SIX:BCHN). Swissmedic лицензии: Betriebsbewilligung Arzneimittel Bubendorf + TpP/GT/GVO. EDQM сертификаты: Desmopressin Acetate Ph.Eur.; Gonadorelin Acetate Ph.Eur. ISO 13485 UK site. FDA/EMA/Swissmedic/PMDA/CDE/ANVISA инспекции. Адрес: Hauptstrasse 144; 4416 Bubendorf; Швейцария. Осн. 1971 Dr. Peter Grogg.
MANUFACTURER,PolyPeptide Group AG,polypeptide.com,CH,ACTIVE,true,L3,100,40,7,QEF,false,90.2,Platinum,https://www.polypeptide.com,,,92,88,90,88,92,90,,,88,,https://www.polypeptide.com/company/,90,high,Публичная компания (SIX:PPGN). HQ: Zug CH. GMP площадки: Malmö SE (Swedish MPA); Strasbourg FR (ANSM); Braine-l'Alleud BE (AFMPS). Годовой отчёт 2025 публично доступен. Осн. 1952. Специализация: GLP-1; GIP; инсулин; пептидные APIs.
MANUFACTURER,Eurogentec S.A.,eurogentec.com,BE,ACTIVE,true,L3,100,30,14,QEF,false,88.0,Platinum,https://www.eurogentec.com,,,90,85,82,85,88,88,,,85,,https://www.eurogentec.com/en/quality,87,high,Дочерняя компания Kaneka Corporation (Япония). AFMPS лицензия №1285 (Льеж). ISO 9001 + ISO 13485 (BSI; cert MD 638600). GMP с 1994. FDA-инспектировано. Адрес: Rue du Bois Saint Jean 5; 4102 Seraing; Бельгия.
MANUFACTURER,JPT Peptide Technologies GmbH,jpt.com,DE,ACTIVE,true,L2,90,20,30,QEF,false,82.0,Gold,https://www.jpt.com,,,85,80,78,82,80,82,,,80,,https://www.certipedia.com/quality_marks/9105022388,78,high,Дочерняя компания BioNTech AG (NASDAQ:BNTX). ISO 9001:2015 (Certipedia ID 9105022388; верифицировано). Адрес: Hermann-Dorner-Allee 23; 12489 Berlin Adlershof. ~170 сотрудников. PepMix пулы; T-клеточные антигены; пептидные микромассивы.
MANUFACTURER,Biosynth AG,biosynth.com,CH,ACTIVE,true,L2,90,25,14,QEF,false,80.0,Gold,https://www.biosynth.com,,,82,80,78,78,75,80,,,78,,https://www.biosynth.com/quality,82,high,HQ: Witterswil CH. Производства: Берлин DE (API; GMP фазы I-III); Lelystad NL (ISO 9001:2015 + ISO 13485:2016); Dublin IE; Bratislava SK (ISO 14001:2015). Включает бывш. Pepscan (NL) и Cambridge Research Biochemicals (UK). Сертификаты публично доступны на сайте.
MANUFACTURER,Almac Sciences Ltd,almacgroup.com,GB,ACTIVE,true,L2,90,18,30,QEF,false,80.5,Gold,https://www.almacgroup.com,,,82,80,78,80,78,82,,,78,,https://www.almacgroup.com/api-chemical-development/peptide-protein-technology/,78,high,Часть Almac Group. MHRA-зарегистрировано. FDA-инспектировано. Площадки: Craigavon NI + Edinburgh Technopole. 500+ человеко-лет экспертизы в синтезе пептидов. GMP производство APIs.
MANUFACTURER,Merck KGaA / Sigma-Aldrich,sigmaaldrich.com,DE,ACTIVE,true,L3,100,50,1,FRF,false,78.0,Gold,https://www.sigmaaldrich.com,,,82,78,80,75,98,80,,,82,,https://www.sigmaaldrich.com/DE/de/life-science/biochemicals/biochemical-reagents/amino-acids-and-derivatives/peptide-synthesis,75,high,DAX: MRK; HQ Darmstadt DE. Крупнейший мировой поставщик реагентов. Пептиды — малая часть бизнеса: _data_completeness по пептидному сегменту снижена. FRF=98 как DAX-голубая фишка. ISO 9001 certified.
MANUFACTURER,Iris Biotech GmbH,iris-biotech.de,DE,ACTIVE,true,L2,90,15,30,QEF,false,75.5,Gold,https://iris-biotech.de,info@iris-biotech.de,,78,72,75,78,72,78,,,75,,https://iris-biotech.de/global/,72,high,Спин-офф CFM Oskar Tropitzsch (осн. 1788). Осн. 2001. CEO: Steffen Tropitzsch. Адрес: Adalbert-Zoellner-Str. 1; D-95615 Marktredwitz. ISO 9001; GMP; GDP (задекларировано). Специализация: аминокислотные строит. блоки; защитные группы; реагенты синтеза пептидов. info@iris-biotech.de публично.
MANUFACTURER,Biosyntan GmbH,biosyntan.de,DE,ACTIVE,true,L1,75,8,90,PCF,false,58.0,Silver,https://www.biosyntan.de,,,52,65,55,62,52,58,,,58,,https://www.biosyntan.de,55,medium,Осн. 1997; Берлин. Все продукты: HPLC + MS. Пептиды 1 мг - 500 мг; стандартные; модифицированные; флуоресцентные. Публичного ISO-сертификата не найдено — QEF снижен. Партнёр BioGenes GmbH. Confidence medium — требует верификации сертификатов.
MANUFACTURER,PepScan sp. z o.o.,pepscan.eu,PL,ACTIVE,true,L1,72,6,60,PCF,false,55.0,Silver,https://pepscan.eu/en/,,,50,60,52,55,48,55,,,55,,https://pepscan.eu/en/,50,medium,NB: не путать с нидерландским Pepscan (поглощён Biosynth). Польская компания. ISO 9001:2008 заявлено (устаревшая редакция — риск). MS + HPLC по всем продуктам. Синтез до 100 AA; 1 мг - кг. KRS (польский реестр) не верифицирован — confidence medium.
MANUFACTURER,Peptide Protein Research Ltd,ppr.co.uk,GB,ACTIVE,true,L1,72,5,60,PCF,false,52.0,Bronze,https://www.ppr.co.uk,,,50,58,48,55,48,50,,,50,,https://find-and-update.company-information.service.gov.uk/company/03801319,48,medium,Companies House No 03801319 — верифицировано публично. Небольшая UK компания; кастомный синтез пептидов + антипептидных антител. Данные ограничены — confidence medium. Требует расширенного KYB.
MANUFACTURER,Tide Labs Ltd,tidelabs.co.uk,GB,PROVISIONAL,false,L0,65,5,14,,false,,Watch,https://tidelabs.co.uk,,,42,55,38,48,,40,,,,Заявляет ISO 9001 QMS и UKAS 3rd-party HPLC; регистрационный номер Companies House не верифицирован публично. KYB gap — требует ручной проверки.,https://tidelabs.co.uk,40,low,RUO UK-ориентирован. Тип 1 гидролитическое стекло; cold chain -20°C. Заявляет UKAS-аккредитованное 3rd-party тестирование (HPLC). Более новая операция; ограниченная публичная история.
MANUFACTURER,Peptra Labs,peptralabs.com,EU,PROVISIONAL,false,L0,65,12,14,,false,,Watch,https://www.peptralabs.com,info@peptralabs.com,,35,58,40,52,,32,,,,RUO EU-вендор с публичными Janoshik COA по лотам. Юрисдикция регистрации и юрлицо публично не раскрыты. KYB невозможен без дополнительного раскрытия.,https://www.peptralabs.com,42,low,EU warehouse; Janoshik HPLC+LC-MS тестирование; публичные COA через janoshik.com. Детальные страницы REACH/BtMG/ANSM комплаенса. Юрисдикция не раскрыта — критический gap для реестра.
MANUFACTURER,Baltic BioLabs,balticbiolabs.eu,EU,PROVISIONAL,false,L0,65,8,30,,false,,Watch,https://balticbiolabs.eu,,,32,50,35,40,,30,,,,Заявляет EU warehouse и GMP compliance; COA per batch. Юрисдикция не установлена. Claim 'primary peptide supplier in Europe' без верифицирующей документации.,https://balticbiolabs.eu,35,low,Сильно-маркетинговый сайт. Claim 'GMP standards' без cert; claim 'ISO-certified labs' без названия лаборатории. 2026 transparency initiative — без верификации. Обязательна ручная KYB-проверка перед публикацией.
